,ds,y
0,20-04-2022,105.05
1,21-04-2022,107.2
2,22-04-2022,105.15
3,25-04-2022,99.27
4,26-04-2022,102.89
5,27-04-2022,103.3
6,28-04-2022,105.78
7,29-04-2022,108.36
8,03-05-2022,104.94
9,04-05-2022,110.53
10,05-05-2022,112.11
11,06-05-2022,113.86
12,09-05-2022,106.67
13,10-05-2022,102.61
14,11-05-2022,107.7
15,12-05-2022,108.06
16,13-05-2022,112.12
17,16-05-2022,114.86
18,17-05-2022,112.89
19,18-05-2022,110.04
20,19-05-2022,113.22
21,20-05-2022,113.63
22,23-05-2022,115.13
23,24-05-2022,115.77
24,25-05-2022,116.41
25,26-05-2022,119.81
26,27-05-2022,121.19
27,30-05-2022,123.01
28,31-05-2022,125.53
29,01-06-2022,122.2
30,03-06-2022,125.68
31,06-06-2022,124.99
32,07-06-2022,126.89
33,08-06-2022,129.2
34,09-06-2022,128.47
35,10-06-2022,127.44
36,13-06-2022,128.44
